srcStateName,srcSubDistrictName,srcYear,Yeild of Tur,Yeild of Horse Gram,Yeild of Black Gram,Yeild of Green Gram,Yeild of Avare,Yeild of Cowpea,Yeild of Bengal Gram,Yeild of Other Pulses,Yeild of Total Pulses,Yeild of Total Food Grains,srcDistrictName,YearCode,Year
Karnataka,Hosadurga,2019-20,567,1094,437,123,884,297,764,650,843,1580,CHITRADURGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hosanagar,2019-20,655,698,437,306,861,365,731,742,776,2972,SHIVAMOGGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hoskote,2019-20,1160,660,495,326,869,310,782,650,818,2249,BENGALURU RURAL,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hospet,2019-20,645,1092,494,325,964,508,508,574,706,2836,VIJAYANAGAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hubballi Nagara,2019-20,752,663,475,319,1007,299,732,883,589,1080,DHARWAD,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hubli,2019-20,518,480,408,313,861,376,835,883,663,1254,DHARWAD,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hukkeri,2019-20,1121,857,437,424,987,388,599,238,607,2442,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hulasuru,2019-20,1649,801,525,498,919,365,731,650,1016,1007,BIDAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Humnabad,2019-20,1498,801,524,440,889,365,757,516,1097,1131,BIDAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hungund,2019-20,476,937,475,167,908,508,1033,193,747,1008,BAGALKOTE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Ilkal,2019-20,550,689,475,203,947,436,991,193,707,960,BAGALKOTE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Indi,2019-20,395,410,165,200,904,378,585,151,432,573,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Jagaluru,2019-20,175,345,437,352,932,488,525,773,518,1884,DAVANGERE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Jamakhandi,2019-20,988,1029,475,271,928,304,835,193,903,2193,BAGALKOTE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Jevargi,2019-20,1063,801,601,314,919,277,1181,773,1060,1128,KALABURAGI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Joida,2019-20,655,731,437,306,919,365,731,773,773,2466,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kadur,2019-20,729,1068,149,201,889,305,813,1893,915,1467,CHIKKAMAGALURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kagavada,2019-20,449,864,498,429,917,365,712,238,639,2014,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kalagi,2019-20,860,731,674,767,861,299,1127,773,845,878,KALABURAGI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kalgatgi,2019-20,1453,542,488,279,999,509,578,883,432,2320,DHARWAD,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kamalanagara,2019-20,1116,801,525,498,861,299,731,452,659,708,BIDAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kamalapura,2019-20,861,801,679,660,955,365,1143,773,834,958,KALABURAGI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kampli,2019-20,874,686,437,259,919,426,754,540,651,4212,BALLARI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kanakagiri,2019-20,356,469,495,232,877,383,431,157,381,1221,KOPPAL,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kapu,2019-20,655,698,515,259,919,471,782,742,514,2822,UDUPI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Karatagi,2019-20,356,447,516,215,919,259,493,157,482,3804,KOPPAL,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Karkala,2019-20,655,698,512,190,919,284,731,650,497,2760,UDUPI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Karwar,2019-20,655,731,492,277,919,365,731,773,488,2450,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,K.G.F,2019-20,376,304,437,371,679,303,782,581,376,1509,KOLAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Khanapur,2019-20,449,865,437,371,979,299,712,238,453,2667,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kitthuru,2019-20,655,986,437,272,973,351,683,238,718,2455,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kolar,2019-20,619,270,495,371,2017,299,782,613,1532,2107,KOLAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kolhara,2019-20,463,497,159,155,895,514,595,151,1063,1795,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Koppa,2019-20,655,731,437,306,919,365,731,1893,1973,2611,CHIKKAMAGALURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Koppal,2019-20,242,308,493,245,958,328,372,157,339,1215,KOPPAL,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Koratagere,2019-20,219,709,437,146,861,256,515,650,598,2237,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kotturu,2019-20,874,1438,492,319,861,510,754,773,826,2965,VIJAYANAGAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Krishnarajpet,2019-20,689,489,495,369,1073,147,782,710,347,1442,MANDYA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kudligi,2019-20,811,2466,495,338,872,424,552,773,990,2557,VIJAYANAGAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kukanuru,2019-20,356,441,494,231,926,435,431,157,382,677,KOPPAL,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kumta,2019-20,655,731,492,277,919,514,731,773,483,2669,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kundapur,2019-20,655,731,590,259,1049,509,731,650,588,2836,UDUPI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kundgol,2019-20,428,478,416,320,1049,332,696,883,628,947,DHARWAD,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kunigal,2019-20,1549,1017,297,177,862,361,515,643,921,1740,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kurugodu,2019-20,1477,1101,492,259,942,501,1020,773,1330,4794,BALLARI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kushtagi,2019-20,381,510,495,238,991,383,388,157,359,725,KOPPAL,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Laxmeshwar,2019-20,538,417,495,330,881,305,547,773,417,1191,GADAG,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Lingasugur,2019-20,597,1469,437,416,861,500,1034,563,707,1127,RAICHUR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Maddur,2019-20,689,943,495,371,1086,154,782,650,794,2415,MANDYA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Madhugiri,2019-20,149,530,437,150,867,256,515,773,458,2123,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Malavalli,2019-20,689,919,495,371,1078,120,782,773,867,2314,MANDYA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Malur,2019-20,595,334,492,371,1089,300,782,622,824,1922,KOLAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mandya,2019-20,689,865,495,371,1086,157,782,498,791,2729,MANDYA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mangalore,2019-20,655,731,437,306,919,299,731,773,302,3077,DAKSHINA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Manvi,2019-20,623,655,437,403,861,315,1185,716,764,2284,RAICHUR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Maski,2019-20,642,632,437,330,919,509,766,669,708,1743,RAICHUR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Molakalmuru,2019-20,325,863,437,130,1000,327,765,773,692,1432,CHITRADURGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mudalagi,2019-20,449,865,437,412,928,299,712,238,702,2695,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Muddebihal,2019-20,528,490,437,54,861,494,527,151,527,583,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mudhol,2019-20,333,1038,475,252,861,352,582,193,456,2126,BAGALKOTE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mudigere,2019-20,655,731,437,306,919,365,731,1893,1973,2635,CHIKKAMAGALURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mulabagilu,2019-20,296,781,495,370,1088,303,782,773,1553,1649,KOLAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mundargi,2019-20,536,483,493,256,900,345,529,724,404,1346,GADAG,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mundgod,2019-20,655,683,494,275,955,416,782,618,397,2489,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Nagamangala,2019-20,434,618,495,371,1082,163,782,650,620,1195,MANDYA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Naragund,2019-20,538,731,495,183,935,306,601,773,358,1155,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Narasimharajapura,2019-20,655,731,437,306,919,365,731,1893,1973,3308,CHIKKAMAGALURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Navalgund,2019-20,752,397,475,312,879,358,744,883,567,1048,DHARWAD,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Nelamangala,2019-20,1160,1119,495,371,870,297,782,704,1036,2214,BENGALURU RURAL,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Nidagundi,2019-20,636,544,492,87,889,512,573,151,630,1145,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Nippani,2019-20,449,865,340,293,897,255,514,238,473,1351,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Nyamati,2019-20,486,295,437,264,955,487,537,650,426,3269,DAVANGERE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Pandavpura,2019-20,945,813,495,371,1085,214,782,613,595,2048,MANDYA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Pavagada,2019-20,407,673,437,146,940,256,515,697,539,983,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Puttur,2019-20,655,731,437,306,919,365,731,650,678,3030,DAKSHINA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Rabakavi Banahatti,2019-20,623,1041,475,209,861,365,731,193,678,3457,BAGALKOTE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Raibag,2019-20,242,774,498,413,909,299,654,238,649,3063,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Raichur,2019-20,518,619,437,368,861,392,1060,511,706,1431,RAICHUR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Ramadurg,2019-20,256,688,437,365,898,386,605,238,466,1159,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Ranebennur,2019-20,801,695,495,200,949,383,580,668,595,1467,HAVERI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Ratteehalli,2019-20,565,545,437,233,898,498,516,696,547,1783,HAVERI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Rona,2019-20,292,555,495,247,876,326,637,773,490,698,GADAG,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sagara,2019-20,655,801,437,371,919,365,731,742,651,3128,SHIVAMOGGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sakleshpura,2019-20,655,731,437,306,919,330,731,773,745,3341,HASSAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Savadatti,2019-20,245,1412,518,492,968,328,524,238,516,1280,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Savanur,2019-20,512,199,184,104,920,426,516,773,376,682,HAVERI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sedam,2019-20,892,801,723,588,919,299,1291,650,881,953,KALABURAGI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Shahbadha,2019-20,908,731,601,582,919,365,1216,650,907,921,KALABURAGI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Shiggaon,2019-20,620,556,119,205,1043,447,191,584,272,1393,HAVERI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Shikaripura,2019-20,729,698,492,208,861,423,782,742,552,3737,SHIVAMOGGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Shimoga,2019-20,729,801,495,181,861,285,731,742,488,4019,SHIVAMOGGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Shirahatti,2019-20,708,550,501,343,897,330,569,773,415,2280,GADAG,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Siddapur,2019-20,655,731,519,196,919,265,731,773,443,2647,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sindagi,2019-20,374,127,200,153,966,307,599,151,410,489,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sindhanur,2019-20,395,637,495,403,861,514,1238,599,1128,2887,RAICHUR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Afzalpur,2019-20,957,801,262,403,1049,299,1393,452,1054,1111,KALABURAGI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Ajjampura,2019-20,729,1093,437,200,867,365,832,650,858,1434,CHIKKAMAGALURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Aland,2019-20,824,801,624,617,924,299,1229,773,870,1052,KALABURAGI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Alnavara,2019-20,655,554,492,280,919,514,732,883,490,2286,DHARWAD,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Alur,2019-20,655,651,437,172,573,330,731,773,573,4171,HASSAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Anekal,2019-20,729,798,495,371,871,303,782,742,826,2036,BENGALURU URBAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Ankola,2019-20,655,683,492,306,919,514,731,650,490,2891,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Annigeri,2019-20,752,731,475,319,861,299,732,883,567,825,DHARWAD,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Arkalgud,2019-20,433,941,273,150,613,311,894,754,418,3040,HASSAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Arsikere,2019-20,452,489,273,137,572,454,357,773,462,1961,HASSAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Aurad,2019-20,1284,801,505,420,861,299,792,544,1041,1070,BIDAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Babaleshwara,2019-20,540,568,112,117,935,432,614,151,547,1505,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Badami,2019-20,626,755,477,405,917,404,1000,193,682,1942,BAGALKOTE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bagalkote,2019-20,590,1001,475,105,959,387,687,193,518,1111,BAGALKOTE,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Ballari,2019-20,1072,483,493,322,1027,466,791,773,814,3237,BALLARI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bangalore-East,2019-20,729,801,437,371,861,299,782,742,769,1968,BENGALURU URBAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bangalore (North),2019-20,729,801,495,306,863,299,782,742,772,2581,BENGALURU URBAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bangalore-South,2019-20,729,798,495,371,868,298,782,742,741,2601,BENGALURU URBAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bangarpet,2019-20,670,422,437,370,669,372,782,773,497,1667,KOLAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bantwal,2019-20,729,731,437,306,919,390,731,650,485,2814,DAKSHINA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Basavakalyan,2019-20,1299,801,613,648,967,430,741,666,1158,1150,BIDAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Basavan Bagewadi,2019-20,653,561,159,139,869,304,660,151,654,816,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Belthangady,2019-20,655,731,437,306,919,514,731,666,643,2924,DAKSHINA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Belur,2019-20,334,600,273,130,654,335,193,766,489,3658,HASSAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bhadravathi,2019-20,729,801,437,371,861,290,731,742,638,3248,SHIVAMOGGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bhalki,2019-20,1117,801,463,462,954,319,790,645,858,853,BIDAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sira,2019-20,181,576,492,146,878,264,515,720,413,1052,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Siraguppa,2019-20,632,1067,506,259,919,397,900,702,809,4268,BALLARI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sirivara,2019-20,529,655,495,378,919,299,1124,599,798,1579,RAICHUR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sirsi,2019-20,655,731,437,306,861,365,731,773,810,2421,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sonduru,2019-20,810,1337,437,329,942,482,809,773,906,2945,BALLARI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Soraba,2019-20,655,698,493,207,861,514,731,742,234,2635,SHIVAMOGGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sringeri,2019-20,655,731,437,306,919,299,731,650,299,2487,CHIKKAMAGALURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Srinivaspura,2019-20,768,229,497,358,673,332,782,773,524,1901,KOLAR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Srirangapatna,2019-20,689,656,495,371,1080,156,782,546,483,3356,MANDYA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Sulya,2019-20,655,731,437,306,919,365,731,650,678,2924,DAKSHINA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Talikote,2019-20,319,497,437,165,919,299,429,151,328,364,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Tarikere,2019-20,729,982,437,143,969,257,962,1893,1061,2526,CHIKKAMAGALURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Thirthahalli,2019-20,729,731,437,306,919,365,731,650,729,2798,SHIVAMOGGA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Tikota,2019-20,434,442,217,188,951,345,690,151,476,711,VIJAYAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Tiptur,2019-20,441,845,297,47,862,256,731,650,662,1282,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Tumkur,2019-20,562,920,437,146,865,545,515,773,835,2059,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Turuvekere,2019-20,330,657,297,94,862,169,515,773,678,1512,TUMAKURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Udupi,2019-20,655,698,507,224,919,390,731,650,489,2952,UDUPI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Virajpet,2019-20,655,731,437,306,919,365,731,742,655,2325,KODAGU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Yadgir,2019-20,817,801,509,716,991,299,747,1332,746,1730,YADGIR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Yadrami,2019-20,1018,758,601,414,919,299,1148,773,1014,1399,KALABURAGI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Yalandur,2019-20,783,820,241,399,950,309,879,650,375,1158,CHAMARAJANAGARA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Yelahanka,2019-20,729,800,495,371,862,298,731,742,658,2231,BENGALURU URBAN,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Yelburga,2019-20,327,438,437,187,879,396,455,157,381,807,KOPPAL,2019,"Financial Year (Apr - Mar), 2019"
